iter	Passed	Remaining
1012	8282	16246
1013	8291	16239
1014	8298	16229
1015	8306	16221
1016	8314	16212
1017	8321	16202
1018	8329	16192
1019	8336	16183
1020	8344	16173
1021	8352	16166
1022	8361	16159
1023	8369	16151
1024	8379	16146
1025	8388	16139
1026	8397	16131
1027	8404	16123
1028	8414	16116
1029	8422	16108
1030	8430	16100
1031	8438	16092
1032	8446	16084
1033	8454	16075
1034	8462	16066
1035	8470	16058
1036	8478	16048
1037	8485	16038
1038	8492	16029
1039	8500	16019
1040	8507	16010
1041	8516	16002
1042	8524	15994
1043	8532	15986
1044	8541	15979
1045	8548	15969
1046	8556	15960
1047	8563	15951
1048	8572	15943
1049	8580	15935
1050	8588	15926
1051	8596	15917
1052	8603	15908
1053	8611	15899
1054	8618	15889
1055	8626	15879
1056	8634	15872
1057	8642	15862
1058	8650	15854
1059	8663	15854
1060	8673	15851
1061	8682	15844
1062	8690	15835
1063	8697	15825
1064	8705	15816
1065	8712	15806
1066	8719	15796
1067	8727	15788
1068	8736	15780
1069	8744	15772
1070	8752	15763
1071	8759	15753
1072	8766	15744
1073	8774	15735
1074	8781	15725
1075	8789	15716
1076	8797	15707
1077	8805	15700
1078	8813	15691
1079	8821	15682
1080	8829	15674
1081	8838	15667
1082	8846	15659
1083	8854	15651
1084	8862	15642
1085	8870	15633
1086	8878	15624
1087	8886	15615
1088	8893	15606
1089	8900	15596
1090	8908	15588
1091	8915	15578
1092	8924	15570
1093	8932	15562
1094	8940	15553
1095	8949	15546
1096	8957	15537
1097	8965	15529
1098	8972	15521
1099	8981	15512
1100	8988	15503
1101	8996	15495
1102	9004	15485
1103	9011	15476
1104	9019	15468
1105	9027	15458
1106	9034	15449
1107	9042	15441
1108	9051	15433
1109	9059	15424
1110	9067	15416
1111	9074	15406
1112	9082	15398
1113	9090	15389
1114	9097	15380
1115	9105	15372
1116	9113	15364
1117	9121	15355
1118	9129	15346
1119	9138	15339
1120	9146	15330
1121	9153	15321
1122	9161	15312
1123	9169	15304
1124	9177	15296
1125	9185	15287
1126	9193	15278
1127	9201	15270
1128	9223	15284
1129	9236	15284
1130	9247	15281
1131	9257	15277
1132	9266	15269
1133	9274	15260
1134	9281	15250
1135	9288	15241
1136	9296	15233
1137	9304	15224
1138	9311	15214
1139	9318	15204
1140	9325	15194
1141	9333	15185
1142	9341	15176
1143	9348	15167
1144	9356	15158
1145	9364	15149
1146	9371	15140
1147	9379	15130
1148	9386	15121
1149	9394	15112
1150	9401	15103
1151	9409	15094
1152	9416	15084
1153	9424	15075
1154	9431	15066
1155	9440	15059
1156	9448	15051
1157	9456	15042
1158	9464	15033
1159	9472	15024
1160	9481	15017
1161	9489	15009
1162	9497	15001
1163	9505	14992
1164	9514	14985
1165	9521	14976
1166	9529	14968
1167	9537	14959
1168	9544	14949
1169	9552	14940
1170	9560	14932
1171	9567	14922
1172	9575	14914
1173	9584	14906
1174	9591	14897
1175	9599	14889
1176	9607	14881
1177	9616	14873
1178	9624	14864
1179	9631	14855
1180	9639	14847
1181	9646	14837
1182	9654	14827
1183	9661	14819
1184	9669	14809
1185	9676	14800
1186	9683	14790
1187	9691	14781
1188	9699	14774
1189	9707	14765
1190	9715	14756
1191	9723	14747
1192	9730	14738
1193	9738	14729
1194	9746	14721
1195	9754	14712
1196	9763	14705
1197	9770	14696
1198	9778	14687
1199	9785	14678
1200	9793	14669
1201	9801	14660
1202	9808	14651
1203	9816	14642
1204	9823	14633
1205	9831	14624
1206	9839	14616
1207	9847	14607
1208	9855	14599
1209	9862	14590
1210	9870	14581
1211	9878	14573
1212	9886	14564
1213	9894	14556
1214	9902	14547
1215	9909	14538
1216	9917	14530
1217	9926	14522
1218	9934	14514
1219	9942	14506
1220	9950	14498
1221	9959	14490
1222	9966	14480
1223	9974	14472
1224	9982	14464
1225	9989	14455
1226	9997	14446
1227	10005	14437
1228	10012	14428
1229	10020	14419
1230	10027	14409
1231	10053	14427
1232	10069	14430
1233	10082	14429
1234	10092	14424
1235	10101	14416
1236	10108	14407
1237	10116	14397
1238	10123	14388
1239	10132	14381
1240	10139	14372
1241	10146	14362
1242	10154	14353
1243	10162	14344
1244	10169	14335
1245	10177	14327
1246	10185	14318
1247	10192	14308
1248	10201	14301
1249	10209	14293
1250	10216	14283
1251	10224	14275
1252	10232	14266
1253	10240	14258
1254	10247	14249
1255	10255	14239
1256	10263	14232
1257	10271	14223
1258	10279	14214
1259	10287	14206
1260	10294	14197
1261	10302	14187
1262	10310	14179
1263	10317	14170
1264	10324	14161
1265	10332	14151
1266	10340	14143
1267	10347	14133
1268	10356	14126
1269	10364	14118
1270	10371	14109
1271	10379	14100
1272	10387	14091
1273	10394	14082
1274	10403	14074
1275	10410	14065
1276	10419	14058
1277	10428	14051
1278	10435	14042
1279	10443	14033
1280	10452	14025
1281	10460	14017
1282	10467	14008
1283	10475	14000
1284	10483	13991
1285	10490	13982
1286	10499	13974
1287	10507	13966
1288	10516	13959
1289	10524	13951
1290	10533	13944
1291	10543	13938
1292	10552	13931
1293	10561	13923
1294	10569	13915
1295	10577	13907
1296	10586	13900
1297	10594	13892
1298	10604	13886
1299	10612	13877
1300	10619	13868
1301	10627	13860
1302	10635	13851
1303	10642	13842
1304	10650	13833
1305	10657	13824
1306	10665	13815
1307	10673	13807
1308	10681	13798
1309	10689	13789
1310	10697	13781
1311	10706	13774
1312	10713	13765
1313	10721	13756
1314	10729	13748
1315	10738	13741
1316	10745	13731
1317	10753	13723
1318	10761	13714
1319	10769	13706
1320	10777	13698
1321	10785	13690
1322	10793	13681
1323	10801	13673
1324	10809	13664
1325	10817	13655
1326	10824	13647
1327	10832	13638
1328	10840	13630
1329	10848	13621
1330	10856	13613
1331	10864	13605
1332	10872	13596
1333	10881	13589
1334	10889	13580
1335	10896	13571
1336	10903	13561
1337	10912	13554
1338	10919	13545
1339	10927	13536
1340	10935	13528
1341	10942	13519
1342	10950	13510
1343	10958	13501
1344	10966	13493
1345	10973	13484
1346	10981	13475
1347	10988	13467
1348	10996	13458
1349	11005	13450
1350	11012	13441
1351	11020	13432
1352	11027	13424
1353	11035	13414
1354	11042	13405
1355	11050	13397
1356	11058	13389
1357	11066	13380
1358	11073	13371
1359	11081	13362
1360	11088	13353
1361	11096	13344
1362	11103	13335
1363	11111	13327
1364	11118	13318
1365	11126	13309
1366	11134	13301
1367	11144	13294
1368	11152	13287
1369	11160	13278
1370	11168	13269
1371	11175	13260
1372	11182	13251
1373	11190	13242
1374	11198	13234
1375	11206	13226
1376	11215	13219
1377	11223	13211
1378	11232	13203
1379	11240	13195
1380	11249	13188
1381	11257	13180
1382	11266	13172
1383	11273	13163
1384	11282	13156
1385	11291	13149
1386	11299	13140
1387	11307	13132
1388	11315	13123
1389	11323	13115
1390	11330	13106
1391	11338	13098
1392	11346	13089
1393	11354	13081
1394	11362	13073
1395	11370	13065
1396	11378	13056
1397	11386	13047
1398	11393	13038
1399	11401	13030
1400	11409	13021
1401	11418	13014
1402	11426	13006
1403	11434	12997
1404	11442	12989
1405	11450	12981
1406	11457	12972
1407	11465	12963
1408	11474	12956
1409	11483	12949
1410	11492	12942
1411	11501	12934
1412	11510	12927
1413	11518	12919
1414	11527	12912
1415	11537	12905
1416	11546	12899
1417	11556	12892
1418	11565	12885
1419	11574	12878
1420	11582	12869
1421	11591	12863
1422	11600	12856
1423	11609	12848
1424	11617	12840
1425	11625	12831
1426	11632	12822
1427	11640	12813
1428	11648	12806
1429	11657	12798
1430	11664	12789
1431	11673	12782
1432	11680	12773
1433	11688	12764
1434	11697	12756
1435	11704	12747
1436	11712	12739
1437	11720	12731
1438	11728	12722
1439	11735	12713
1440	11743	12705
1441	11751	12696
1442	11758	12687
1443	11765	12678
1444	11774	12670
1445	11782	12662
1446	11790	12653
1447	11797	12644
1448	11805	12636
1449	11813	12627
1450	11821	12619
1451	11828	12610
1452	11836	12601
1453	11844	12593
1454	11852	12585
1455	11860	12576
1456	11867	12567
1457	11874	12559
1458	11882	12550
1459	11890	12542
1460	11899	12534
1461	11907	12526
1462	11915	12517
1463	11923	12509
1464	11930	12500
1465	11938	12491
1466	11945	12482
1467	11953	12474
1468	11960	12465
1469	11968	12457
1470	11976	12448
1471	11983	12439
1472	11991	12431
1473	12000	12423
1474	12007	12414
1475	12015	12406
1476	12023	12397
1477	12030	12388
1478	12038	12380
1479	12046	12371
1480	12054	12363
1481	12062	12355
1482	12069	12346
1483	12077	12338
1484	12085	12329
1485	12093	12321
1486	12100	12312
1487	12109	12305
1488	12117	12296
1489	12125	12288
1490	12134	12280
1491	12141	12272
1492	12149	12263
1493	12157	12255
1494	12165	12246
1495	12172	12238
1496	12180	12229
1497	12189	12221
1498	12196	12213
1499	12205	12205
1500	12212	12196
1501	12220	12187
1502	12228	12179
1503	12236	12171
1504	12244	12163
1505	12252	12154
1506	12260	12146
1507	12267	12137
1508	12275	12129
1509	12283	12120
1510	12290	12111
1511	12298	12102
1512	12305	12094
1513	12312	12085
1514	12320	12076
1515	12329	12068
1516	12336	12060
1517	12344	12051
1518	12352	12043
1519	12359	12034
1520	12367	12026
1521	12375	12017
1522	12384	12010
1523	12392	12001
1524	12399	11993
1525	12407	11984
1526	12415	11976
1527	12422	11967
1528	12430	11959
1529	12438	11950
1530	12445	11941
1531	12453	11933
1532	12461	11925
1533	12469	11916
1534	12476	11907
1535	12484	11899
1536	12492	11890
1537	12500	11882
1538	12514	11880
1539	12523	11872
1540	12531	11864
1541	12538	11855
1542	12546	11847
1543	12554	11839
1544	12563	11831
1545	12570	11822
1546	12578	11813
1547	12585	11804
1548	12593	11796
1549	12601	11788
1550	12609	11780
1551	12617	11771
1552	12625	11763
1553	12633	11755
1554	12640	11746
1555	12648	11738
1556	12662	11735
1557	12677	11733
1558	12690	11729
1559	12704	11726
1560	12713	11719
1561	12721	11711
1562	12730	11703
1563	12738	11695
1564	12745	11686
1565	12754	11679
1566	12763	11671
1567	12771	11663
1568	12779	11655
1569	12786	11646
1570	12795	11638
1571	12803	11630
1572	12811	11622
1573	12819	11613
1574	12827	11605
1575	12835	11597
1576	12843	11589
1577	12852	11581
1578	12860	11573
1579	12867	11564
1580	12875	11556
1581	12885	11549
1582	12893	11541
1583	12901	11532
1584	12909	11524
1585	12916	11515
1586	12924	11507
1587	12931	11497
1588	12939	11490
1589	12947	11481
1590	12955	11473
1591	12963	11464
1592	12971	11456
1593	12978	11447
1594	12986	11439
1595	12993	11430
1596	13001	11421
1597	13008	11413
1598	13016	11404
1599	13024	11396
1600	13032	11388
1601	13041	11380
1602	13048	11371
1603	13056	11363
1604	13063	11354
